subject	edge_label	object	relation	provided_by
DSMZ:92	biolink:supportsGrowth	NCBITaxon:1930747		BACDIVE:132272
NCBITaxon:1217546	biolink:growsIn	DSMZ:65		BACDIVE:132251
DSMZ:65	biolink:supportsGrowth	NCBITaxon:1217546		BACDIVE:132251
NCBITaxon:1290	biolink:growsIn	DSMZ:830		BACDIVE:130701
DSMZ:830	biolink:supportsGrowth	NCBITaxon:1290		BACDIVE:130701
NCBITaxon:1935	biolink:growsIn	DSMZ:65		BACDIVE:16085
DSMZ:65	biolink:supportsGrowth	NCBITaxon:1935		BACDIVE:16085
NCBITaxon:1931	biolink:growsIn	DSMZ:65		BACDIVE:15980
DSMZ:65	biolink:supportsGrowth	NCBITaxon:1931		BACDIVE:15980
NCBITaxon:54	biolink:growsIn	DSMZ:9		BACDIVE:10374
DSMZ:9	biolink:supportsGrowth	NCBITaxon:54		BACDIVE:10374
NCBITaxon:83456	biolink:growsIn	DSMZ:9		BACDIVE:9892
DSMZ:9	biolink:supportsGrowth	NCBITaxon:83456		BACDIVE:9892
NCBITaxon:184914	biolink:growsIn	DSMZ:9		BACDIVE:9149
DSMZ:9	biolink:supportsGrowth	NCBITaxon:184914		BACDIVE:9149
NCBITaxon:1270	biolink:growsIn	DSMZ:220		BACDIVE:7706
DSMZ:220	biolink:supportsGrowth	NCBITaxon:1270		BACDIVE:7706
NCBITaxon:1270	biolink:growsIn	DSMZ:220		BACDIVE:7702
DSMZ:220	biolink:supportsGrowth	NCBITaxon:1270		BACDIVE:7702
NCBITaxon:46353	biolink:growsIn	DSMZ:92		BACDIVE:7251
DSMZ:92	biolink:supportsGrowth	NCBITaxon:46353		BACDIVE:7251
NCBITaxon:562	biolink:growsIn	DSMZ:1		BACDIVE:4736
DSMZ:1	biolink:supportsGrowth	NCBITaxon:562		BACDIVE:4736
NCBITaxon:562	biolink:growsIn	DSMZ:381		BACDIVE:4732
DSMZ:381	biolink:supportsGrowth	NCBITaxon:562		BACDIVE:4732
NCBITaxon:621109	biolink:growsIn	DSMZ:514		BACDIVE:1493
DSMZ:514	biolink:supportsGrowth	NCBITaxon:621109		BACDIVE:1493
NCBITaxon:86664	biolink:growsIn	DSMZ:220		BACDIVE:681
DSMZ:220	biolink:supportsGrowth	NCBITaxon:86664		BACDIVE:681
NCBITaxon:287	biolink:growsIn	DSMZ:92		BACDIVE:160141
DSMZ:92	biolink:supportsGrowth	NCBITaxon:287		BACDIVE:160141
NCBITaxon:932217	biolink:growsIn	DSMZ:215		BACDIVE:159581
